age,state,n
39,WA,996
39,AK,86
39,HI,194
40,CT,370
40,ME,138
40,MA,782
40,NH,124
40,RI,99
40,VT,58
40,DE,86
40,NJ,1066
40,NY,2266
40,PA,1355
40,IL,1490
40,IN,777
40,MI,1078
40,OH,1310
40,WI,649
40,IA,349
40,KS,347
40,MN,651
40,MO,673
40,NE,205
40,ND,80
40,SD,84
40,VA,984
40,AL,503
40,AR,368
40,FL,2196
40,GA,1198
40,LA,505
40,MS,336
40,NC,1157
40,SC,563
40,TX,3254
40,KY,582
40,MD,712
40,OK,485
40,TN,760
40,WV,191
40,AZ,799
40,CO,691
40,ID,196
40,MT,109
40,NV,309
40,NM,211
40,UT,417
40,WY,70
40,CA,4640
40,OR,564
40,WA,955
40,AK,76
40,HI,145
41,CT,414
41,ME,110
41,MA,830
41,NH,127
41,RI,116
41,VT,69
41,DE,81
41,NJ,1088
41,NY,2499
41,PA,1378
41,IL,1620
41,IN,736
41,MI,1086
41,OH,1364
41,WI,680
41,IA,372
41,KS,329
41,MN,678
41,MO,727
41,NE,252
41,ND,80
41,SD,88
41,VA,1076
41,AL,504
41,AR,309
41,FL,2280
41,GA,1249
41,LA,526
41,MS,314
41,NC,1214
41,SC,621
41,TX,3413
41,KY,506
41,MD,714
41,OK,426
41,TN,802
41,WV,205
41,AZ,773
41,CO,751
41,ID,200
41,MT,119
41,NV,398
41,NM,207
41,UT,436
41,WY,67
41,CA,5042
41,OR,556
41,WA,958
41,AK,75
41,HI,219
42,CT,413
42,ME,111
42,MA,794
42,NH,134
42,RI,126
42,VT,65
42,DE,76
42,NJ,1062
42,NY,2039
42,PA,1374
42,IL,1478
42,IN,740
42,MI,985
42,OH,1264
42,WI,632
42,IA,304
42,KS,328
42,MN,590
42,MO,653
42,NE,205
42,ND,78
42,SD,105
42,VA,951
42,AL,522
42,AR,336
42,FL,2212
42,GA,1172
42,LA,476
42,MS,288
42,NC,1154
42,SC,515
42,TX,3195
42,KY,497
42,MD,652
42,OK,411
42,TN,760
42,WV,224
42,AZ,784
42,CO,726
42,ID,191
42,MT,103
42,NV,363
42,NM,212
42,UT,413
42,WY,54
42,CA,4542
42,OR,565
42,WA,889
42,AK,68
42,HI,158
43,CT,416
43,ME,117
43,MA,718
43,NH,123
43,RI,86
43,VT,71
